,names,logFC_C
84807,Taf5l,0.32647792
84616,Orc2,0.32862929
85729,Ddx28,0.3315085
86027,Sppl2b,0.3342681
85341,Srfbp1,0.3375663
85521,Exog,0.3382773
85492,Rbsn,0.33952376
85163,Pdcd11,0.34817678
84764,Noc4l,0.3493412
85936,Trp53rka,0.35182345
85684,Myo5a,0.35763702
85628,Rcl1,0.35778028
85294,Thg1l,0.3579035
85472,Phlpp1,0.35887218
85635,Dnajb5,0.35892093
86071,Prmt6,0.36054176
85237,Ercc6l2,0.3616673
84702,Ddx56,0.36455673
85647,Gemin6,0.3693784
85686,C1qbp,0.37089628
86072,Utp14b,0.37761888
86030,Dlg3,0.38375595
84551,Ppat,0.38640139
85447,Mtch2,0.38646868
85007,Isoc1,0.3898163
85458,Pop7,0.3936659
85078,Ppp1r14b,0.40029296
85692,Sdc3,0.40251112
85620,Pex1,0.40747386
86007,Ddx31,0.4082099
85196,Cdc25a,0.40916672
85863,F2r,0.41063017
85562,Qrsl1,0.41406235
85982,Pdss2,0.41582337
85589,Polr3e,0.4187325
85610,Exosc2,0.42678478
84404,Nr1h2,0.42719308
85305,Anks1,0.43110654
84797,Tusc2,0.4315923
85171,Gpn1,0.43706572
84889,Slc7a5,0.4396402
85229,Lrrc14,0.44091877
85956,Mpp2,0.44579324
86061,Spryd7,0.45029536
84177,Cops7a,0.45614567
85102,Nol8,0.45706332
85101,Atf4,0.46013916
85345,Tmem104,0.4631654
85851,Tefm,0.4677368
85774,Dimt1,0.47431692
85306,Klc2,0.4964575
85487,Sco1,0.50567245
85751,Mad2l2,0.5066264
85633,Kctd3,0.508344
85056,Coq5,0.51622415
85777,Dph2,0.5248767
85614,Dcun1d3,0.5379634
84980,Slc7a6,0.54474264
84274,Pno1,0.545502
85937,Dus2,0.5462508
85760,Trmo,0.5491097
84767,St6galnac4,0.5564194
85410,Itprid2,0.5610302
85732,Swsap1,0.5655843
85704,Nop16,0.57097745
85175,Ythdc2,0.5714404
85490,Timm10,0.5813269
85688,Tmem201,0.6013285
85807,Aar2,0.60308814
85569,Eif2b3,0.6104235
85821,Tango6,0.6348911
86067,Magohb,0.6414896
86047,Phlpp2,0.65660375
85950,Dna2,0.66304994
86014,Dnaja4,0.6756328
85860,Hgh1,0.6845884
85217,Slc12a2,0.68520564
86043,Il18bp,0.70172065
84804,Cluh,0.73915374
85367,Hps6,0.74635005
85882,Alg3,0.75786173
86045,B3galt6,0.76527995
84943,Ipo4,0.7971629
85168,Ada,0.797394
85865,Nkrf,0.81564456
84772,Pcgf6,0.8170985
85726,Dhx29,0.840934
85083,Isg20,0.8445505
85841,Adamtsl4,0.8525082
84221,Apex1,0.8530432
85975,Rpp38,0.8576866
85887,Ccdc86,0.8751961
85817,Clstn1,0.9039391
84301,Aen,0.90629536
86004,Mettl22,0.90964
84525,Osm,0.9175966
85805,Acvr2a,0.9438172
85215,Ung,0.9599465
85931,Prnp,0.99951863
84510,Sdad1,1.0210655
86068,Polr3d,1.046687
85283,Ifrd2,1.1244607
85832,Hic1,1.1596087
85605,Tnf,1.1699368
86031,Oas2,1.1826185
85921,Shmt1,1.2581879
85685,Suv39h2,1.2640005
85052,Xdh,1.2643328
85742,Clcn5,1.3358985
85794,Enpp1,1.34987
85578,Armcx6,1.4079015
85674,Casz1,1.4107522
84465,Pprc1,1.5069526
83737,Gadd45g,1.5087092
85773,Oas1a,1.5420088
85459,Irf4,1.5486809
85667,Ms4a6d,1.5801094
85018,Trmt61a,1.6248195
85693,Nefh,1.659328
85811,Pkd1l3,1.9861944
84866,Entpd1,3.0483406
85483,Npas2,3.196202
83929,Ube2l6,3.5145845
83948,Frmd4b,4.0029807
85682,Il12rb2,4.391643
